gene	Z_rank
MARCH6	404
TSSK6	405
DVL3	406
TRIM3	407
SEMA6D	408
SIX3	409
ADCY2	410
SLC12A5	411
FSCN1	412
ZFHX4	413
SMEK1	414
PDS5B	415
PSPC1	416
CTNNA2	417
SATB2	418
ZER1	419
PITPNM2	420
MKLN1	421
INSR	422
CBX6	423
AMPD2	424
FUT4	425
MAP4K4	426
ABCE1	427
KIF5A	428
ZC3H4	429
ZNF777	430
GFPT1	431
HLA-C	432
TUBA1B	433
CXXC1	434
RBM14-RBM4	435
CSK	436
GNA11	437
NLGN3	438
MIB1	439
EBF3	440
RTF1	441
NAV1	442
ACTL6B	443
HTRA2	444
PRKCB	445
FBXL16	446
SLX1A	447
SLX1B	448
SMARCA5	449
FEM1A	450
PRAMEF22	451
BAI2	452
ROCK2	453
WNK1	454
KCNQ4	455
ZNF236	456
ZIC2	457
FZD1	458
ZNF605	459
IGF2BP1	460
PPP4C	461
INA	462
TRPC7	463
ABCC5	464
PRRC2A	465
SPDYE2	466
SPDYE2L	467
IRX5	468
PLXNA4	469
KCNJ9	470
BCR	471
FMN2	472
ARC	473
PLXNB1	474
GPR4	475
SF3A1	476
FIZ1	477
NOS1	478
SF1	479
ESPL1	480
SLC7A5	481
SATB1	482
SRSF2	483
EDC4	484
ACTC1	485
KCNN3	486
IRS4	487
MEN1	488
DDX39B	489
PDE2A	490
HTT	491
ACTN4	492
PURA	493
PTCHD2	494
FOXD4L1	495
PLCL2	496
EZH1	497
CAMSAP3	498
EIF2C3	499
STAT1	500
KCNH3	501
PHOX2B	502
IPO7	503
SLC17A7	504
KCNV1	505
DNM2	506
RXRB	507
ODZ2	508
KIAA0100	509
THRA	510
SKOR1	511
FEZF2	512
SLCO3A1	513
EGR3	514
NLGN2	515
LHX5	516
GCK	517
TRIM24	518
KCNK9	519
SRCAP	520
PCBP1	521
DENND4B	522
UBE3A	523
GRM3	524
HNRNPR	525
WHSC1L1	526
ATP13A1	527
ARGLU1	528
SIN3A	529
MRC2	530
INPP4A	531
CLIP3	532
HNRNPU	533
PTPN20A	534
PTPN20B	535
CDK19	536
ADCY5	537
SMARCC2	538
KCNH2	539
PAQR9	540
TNIK	541
PTGER3	542
RBM15B	543
FAM108A1	544
CLEC18A	545
NKX2-1	546
WNT8B	547
SLC4A10	548
POU3F3	549
NSF	550
HLA-B	551
KCNH5	552
DICER1	553
MYO5A	554
NRXN2	555
MACF1	556
PPP1R13L	557
ADAMTS15	558
RTN4RL2	559
PRLHR	560
TFAP2A	561
AGAP3	562
HNRNPK	563
PC	564
GRIK5	565
KCNT1	566
CPEB4	567
DOPEY1	568
MYOD1	569
CSMD2	570
NLGN4X	571
LHX1	572
FBXL19	573
USP22	574
FOXL2	575
SCN5A	576
BPTF	577
AMY1A	578
AMY1C	579
AMY1B	580
RICTOR	581
QRICH1	582
CUX1	583
SRCIN1	584
NACC1	585
ZMYND11	586
CLASRP	587
STAT5A	588
UBAP2L	589
CHD6	590
KIF1A	591
SOX2	592
CHRNE	593
GRIA1	594
SLC6A1	595
SOBP	596
COL1A1	597
KIF1B	598
ACTA2	599
STXBP1	600
SLC12A6	601
MED13L	602
ACLY	603
GFOD1	604
GRM1	605
ADAMTS5	606
ODZ3	607
PLXND1	608
RERE	609
KLHL15	610
PDPK1	611
STAG1	612
PCDH11Y	613
RBM47	614
